@relation NewRelation
@attribute class {Albania,'Antigua and Barbuda',Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Belize,'Bosnia and Herzegovina',Brazil,Bulgaria,'Cabo Verde',Canada,Chile,Colombia,'Costa Rica',Croatia,Cuba,Cyprus,'Czech Republic',Denmark,Dominica,Ecuador,'El Salvador',Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Hungary,Iceland,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kiribati,Kuwait,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macau,Maldives,Malta,Mauritius,Mexico,Mongolia,Montenegro,Netherlands,'New Zealand',Nicaragua,Norway,Oman,Panama,Paraguay,Philippines,Poland,Portugal,'Puerto Rico',Qatar,'Republic of Korea',Romania,'Russian Federation','Saint Kitts and Nevis','Saint Lucia','Saint Vincent and Grenadines','San Marino',Serbia,Seychelles,Singapore,Slovakia,Slovenia,'South Africa',Spain,'Sri Lanka',Suriname,Sweden,Switzerland,Thailand,'Trinidad and Tobago',Turkey,Turkmenistan,Ukraine,'United Arab Emirates','United Kingdom','United States',Uruguay,Uzbekistan}
@attribute suicidios numeric
@attribute 'taxa de suicidio' numeric
@data
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,8,1
Albania,29,1
Albania,14,1
Albania,3,1
Albania,9,1
Albania,13,1
Albania,13,1
Albania,8,1
Albania,9,1
Albania,14,1
Albania,4,1
Albania,0,0
Albania,21,1
Albania,37,1
Albania,21,1
Albania,5,1
Albania,20,1
Albania,9,1
Albania,19,1
Albania,2,1
Albania,11,1
Albania,7,1
Albania,7,1
Albania,1,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,20,1
Albania,20,1
Albania,9,1
Albania,2,1
Albania,10,1
Albania,6,1
Albania,2,1
Albania,12,1
Albania,7,1
Albania,6,1
Albania,2,0
Albania,0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',2,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',1,1
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
'Antigua and Barbuda',0,0
Argentina,202,1
Argentina,485,1
Argentina,414,1
Argentina,210,1
Argentina,177,1
Argentina,41,1
Argentina,156,1
Argentina,142,1
Argentina,65,1
Argentina,69,1
Argentina,16,0
Argentina,11,0
Argentina,230,1
Argentina,530,1
Argentina,478,1
Argentina,209,1
Argentina,48,1
Argentina,201,1
Argentina,186,1
Argentina,188,1
Argentina,96,1
Argentina,101,1
Argentina,10,0
Argentina,7,0
Argentina,200,1
Argentina,532,1
Argentina,482,1
Argentina,57,1
Argentina,224,1
Argentina,192,1
Argentina,179,1
Argentina,209,1
Argentina,89,1
Argentina,93,1
Argentina,15,0
Argentina,14,0
Argentina,216,1
Argentina,550,1
Argentina,477,1
Argentina,61,1
Argentina,233,1
Argentina,215,1
Argentina,211,1
Argentina,198,1
Argentina,101,1
Argentina,61,1
Argentina,20,0
Argentina,11,0
Argentina,208,1
Argentina,548,1
Argentina,462,1
Argentina,65,1
Argentina,219,1
Argentina,201,1
Argentina,186,1
Argentina,166,1
Argentina,83,1
Argentina,80,1
Argentina,18,0
Argentina,11,0
Argentina,226,1
Argentina,502,1
Argentina,439,1
Argentina,61,1
Argentina,182,1
Argentina,190,1
Argentina,174,1
Argentina,163,1
Argentina,91,1
Argentina,76,1
Argentina,22,0
Argentina,14,0
Argentina,184,1
Argentina,449,1
Argentina,398,1
Argentina,214,1
Argentina,50,1
Argentina,169,1
Argentina,179,1
Argentina,133,1
Argentina,77,1
Argentina,61,1
Argentina,28,0
Argentina,9,0
Argentina,194,1
Argentina,500,1
Argentina,488,1
Argentina,227,1
Argentina,249,1
Argentina,46,1
Argentina,147,1
Argentina,140,1
Argentina,79,1
Argentina,79,1
Argentina,22,0
Argentina,13,0
Argentina,229,1
Argentina,520,1
Argentina,495,1
Argentina,233,1
Argentina,58,1
Argentina,235,1
Argentina,126,1
Argentina,144,1
Argentina,76,1
Argentina,73,1
Argentina,25,0
Argentina,16,0
Argentina,192,1
Argentina,509,1
Argentina,527,1
Argentina,226,1
Argentina,250,1
Argentina,135,1
Argentina,34,1
Argentina,160,1
Argentina,98,1
Argentina,72,1
Argentina,27,0
Argentina,11,0
Argentina,190,1
Argentina,515,1
Argentina,485,1
Argentina,218,1
Argentina,277,1
Argentina,49,1
Argentina,134,1
Argentina,139,1
Argentina,101,1
Argentina,62,1
Argentina,19,0
Argentina,15,0
Argentina,189,1
Argentina,464,1
Argentina,524,1
Argentina,226,1
Argentina,280,1
Argentina,59,1
Argentina,131,1
Argentina,176,1
Argentina,105,1
Argentina,52,1
Argentina,14,0
Argentina,9,0
Argentina,195,1
Argentina,457,1
Argentina,501,1
Argentina,213,1
Argentina,260,1
Argentina,47,1
Argentina,131,1
Argentina,165,1
Argentina,113,1
Argentina,72,1
Argentina,19,0
Argentina,11,0
Argentina,201,1
Argentina,518,1
Argentina,508,1
Argentina,327,1
Argentina,251,1
Argentina,53,1
Argentina,140,1
Argentina,114,1
Argentina,147,1
Argentina,52,1
Argentina,20,0
Argentina,16,0
Argentina,204,1
Argentina,540,1
Argentina,545,1
Argentina,355,1
Argentina,265,1
Argentina,137,1
Argentina,44,1
Argentina,141,1
Argentina,101,1
Argentina,50,1
Argentina,21,0
Argentina,20,0
Argentina,232,1
Argentina,602,1
Argentina,578,1
Argentina,463,1
Argentina,331,1
Argentina,133,1
Argentina,43,1
Argentina,174,1
Argentina,116,1
Argentina,63,1
Argentina,21,0
Argentina,18,0
Argentina,250,1
Argentina,659,1
Argentina,518,1
Argentina,625,1
Argentina,375,1
Argentina,57,1
Argentina,166,1
Argentina,137,1
Argentina,210,1
Argentina,82,1
Argentina,29,0
Argentina,24,0
Argentina,234,1
Argentina,615,1
Argentina,542,1
Argentina,412,1
Argentina,619,1
Argentina,179,1
Argentina,58,1
Argentina,158,1
Argentina,194,1
Argentina,91,1
Argentina,37,1
Argentina,23,0
Argentina,272,1
Argentina,577,1
Argentina,638,1
Argentina,456,1
Argentina,625,1
Argentina,68,1
Argentina,179,1
Argentina,147,1
Argentina,196,1
Argentina,69,1
Argentina,37,1
Argentina,25,0
Argentina,227,1
Argentina,500,1
Argentina,653,1
Argentina,445,1
Argentina,599,1
Argentina,159,1
Argentina,136,1
Argentina,50,1
Argentina,185,1
Argentina,99,1
Argentina,43,1
Argentina,25,0
Argentina,225,1
Argentina,489,1
Argentina,638,1
Argentina,451,1
Argentina,539,1
Argentina,161,1
Argentina,59,1
Argentina,148,1
Argentina,171,1
Argentina,104,1
Argentina,52,1
Argentina,21,0
Argentina,246,1
Argentina,656,1
Argentina,487,1
Argentina,483,1
Argentina,585,1
Argentina,175,1
Argentina,115,1
Argentina,160,1
Argentina,105,1
Argentina,31,1
Argentina,39,1
Argentina,26,0
Argentina,225,1
Argentina,577,1
Argentina,438,1
Argentina,490,1
Argentina,571,1
Argentina,146,1
Argentina,126,1
Argentina,108,1
Argentina,155,1
Argentina,31,1
Argentina,45,1
Argentina,34,1
Argentina,208,1
Argentina,625,1
Argentina,463,1
Argentina,531,1
Argentina,582,1
Argentina,180,1
Argentina,173,1
Argentina,108,1
Argentina,36,1
Argentina,94,1
Argentina,39,1
Argentina,20,0
Argentina,177,1
Argentina,609,1
Argentina,434,1
Argentina,504,1
Argentina,542,1
Argentina,164,1
Argentina,112,1
Argentina,105,1
Argentina,150,1
Argentina,25,1
Argentina,34,0
Argentina,28,0
Argentina,206,1
Argentina,683,1
Argentina,485,1
Argentina,397,1
Argentina,573,1
Argentina,150,1
Argentina,162,1
Argentina,101,1
Argentina,99,1
Argentina,34,1
Argentina,33,0
Argentina,20,0
Argentina,178,1
Argentina,693,1
Argentina,510,1
Argentina,416,1
Argentina,504,1
Argentina,172,1
Argentina,157,1
Argentina,102,1
Argentina,93,1
Argentina,30,1
Argentina,29,0
Argentina,28,0
Argentina,225,1
Argentina,745,1
Argentina,616,1
Argentina,451,1
Argentina,554,1
Argentina,204,1
Argentina,164,1
Argentina,108,1
Argentina,102,1
Argentina,33,1
Argentina,29,0
Argentina,17,0
Argentina,168,1
Argentina,696,1
Argentina,499,1
Argentina,398,1
Argentina,604,1
Argentina,167,1
Argentina,102,1
Argentina,157,1
Argentina,102,1
Argentina,29,1
Argentina,32,0
Argentina,33,0
Argentina,192,1
Argentina,738,1
Argentina,531,1
Argentina,405,1
Argentina,644,1
Argentina,204,1
Argentina,196,1
Argentina,118,1
Argentina,109,1
Argentina,25,1
Argentina,35,0
Argentina,34,0
Argentina,245,1
Argentina,656,1
Argentina,431,1
Argentina,465,1
Argentina,633,1
Argentina,153,1
Argentina,125,1
Argentina,114,1
Argentina,166,1
Argentina,27,1
Argentina,39,1
Argentina,19,0
Armenia,25,1
Armenia,2,1
Armenia,11,1
Armenia,16,1
Armenia,15,1
Armenia,10,1
Armenia,6,1
Armenia,1,1
Armenia,4,1
Armenia,3,1
Armenia,0,0
Armenia,0,0
Armenia,5,1
Armenia,20,1
Armenia,11,1
Armenia,9,1
Armenia,14,1
Armenia,2,1
Armenia,9,1
Armenia,6,1
Armenia,4,1
Armenia,0,0
Armenia,0,0
Armenia,0,0
Armenia,3,1
Armenia,15,1
Armenia,22,1
Armenia,15,1
Armenia,10,1
Armenia,2,1
Armenia,9,1
Armenia,6,1
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,0,0
Armenia,6,1
Armenia,20,1
Armenia,2,1
Armenia,25,1
Armenia,17,1
Armenia,14,1
Armenia,7,1
Armenia,6,1
Armenia,6,1
Armenia,3,1
Armenia,0,0
Armenia,0,0
Armenia,7,1
Armenia,5,1
Armenia,20,1
Armenia,31,1
Armenia,18,1
Armenia,10,1
Armenia,6,1
Armenia,7,1
Armenia,4,1
Armenia,2,0
Armenia,1,0
Armenia,1,0
Armenia,29,1
Armenia,32,1
Armenia,21,1
Armenia,2,1
Armenia,2,1
Armenia,11,1
Armenia,11,1
Armenia,10,1
Armenia,8,1
Armenia,3,0
Armenia,1,0
Armenia,0,0
Armenia,3,1
Armenia,18,1
Armenia,24,1
Armenia,13,1
Armenia,12,1
Armenia,7,1
Armenia,4,1
Armenia,3,1
Armenia,1,0
Armenia,1,0
Armenia,1,0
Armenia,0,0
Armenia,21,1
Armenia,26,1
Armenia,3,1
Armenia,1,1
Armenia,9,1
Armenia,8,1
Armenia,4,1
Armenia,3,0
Armenia,1,0
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,2,1
Armenia,16,1
Armenia,20,1
Armenia,6,1
Armenia,6,1
Armenia,1,1
Armenia,9,1
Armenia,4,1
Armenia,1,0
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,15,1
Armenia,3,1
Armenia,22,1
Armenia,9,1
Armenia,6,1
Armenia,6,1
Armenia,4,0
Armenia,2,0
Armenia,0,0
Armenia,0,0
Armenia,0,0
Armenia,0,0
Armenia,4,1
Armenia,5,1
Armenia,14,1
Armenia,18,1
Armenia,5,1
Armenia,6,1
Armenia,4,1
Armenia,4,1
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,0,0
Armenia,17,1
Armenia,3,1
Armenia,4,1
Armenia,19,1
Armenia,4,1
Armenia,4,1
Armenia,3,0
Armenia,2,0
Armenia,3,0
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,3,1
Armenia,19,1
Armenia,12,1
Armenia,22,1
Armenia,1,1
Armenia,5,1
Armenia,6,1
Armenia,3,1
Armenia,1,0
Armenia,1,0
Armenia,1,0
Armenia,0,0
Armenia,3,1
Armenia,14,1
Armenia,21,1
Armenia,3,1
Armenia,10,1
Armenia,3,1
Armenia,3,0
Armenia,1,0
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,0,0
Armenia,6,1
Armenia,21,1
Armenia,17,1
Armenia,10,1
Armenia,8,1
Armenia,6,1
Armenia,2,1
Armenia,5,1
Armenia,2,0
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,7,1
Armenia,13,1
Armenia,19,1
Armenia,8,1
Armenia,7,1
Armenia,4,1
Armenia,8,1
Armenia,1,1
Armenia,3,1
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,7,1
Armenia,18,1
Armenia,11,1
Armenia,10,1
Armenia,5,1
Armenia,4,1
Armenia,3,0
Armenia,2,0
Armenia,1,0
Armenia,1,0
Armenia,1,0
Armenia,0,0
Armenia,8,1
Armenia,11,1
Armenia,17,1
Armenia,5,1
Armenia,1,1
Armenia,3,1
Armenia,2,1
Armenia,2,0
Armenia,3,0
Armenia,1,0
Armenia,0,0
Armenia,0,0
Armenia,6,1
Armenia,13,1
Armenia,10,1
Armenia,15,1
Armenia,8,1
Armenia,7,1
Armenia,2,1
Armenia,2,1
Armenia,5,1
Armenia,2,1
Armenia,2,0
